JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
==> Parameters: Maureen Davies(String), 48(Long), Female(String), 11212012(String), Eastern China(String), 18621719561(String), Contracts Manager(String)
==> Parameters: He Wenming(String), 42(Long), Male(String), 11812127(String), Eastern China(String), 13869683917(String), Contracts Manager(String)
==> Parameters: Wang Jiaxuan(String), 42(Long), Male(String), 11812826(String), Eastern China(String), 13951342870(String), Contracts Manager(String)
==> Parameters: Kong Shanwei(String), 39(Long), Female(String), 12111303(String), Eastern China(String), 18937157948(String), Contracts Manager(String)
==> Parameters: Li Bingzhi(String), 49(Long), Male(String), 11110624(String), Eastern China(String), 18630558721(String), Contracts Manager(String)
==> Parameters: Qing Muxue(String), 46(Long), Female(String), 11412917(String), Eastern China(String), 18636223046(String), Contracts Manager(String)
==> Parameters: Timothy Wright(String), 46(Long), Male(String), 11412623(String), Eastern China(String), 18913709126(String), Contracts Manager(String)
==> Parameters: Zhu Yunzhi(String), 38(Long), Male(String), 12212520(String), Eastern China(String), 15071044773(String), Contracts Manager(String)
==> Parameters: Jing Nianlan(String), 48(Long), Female(String), 11210928(String), Eastern China(String), 18664669055(String), Contracts Manager(String)
==> Parameters: Millie Robinson(String), 44(Long), Female(String), 11611811(String), Eastern China(String), 13976277480(String), Contracts Manager(String)
==> Parameters: Bob Lewis(String), 47(Long), Male(String), 11310829(String), Eastern China(String), 13947319351(String), Contracts Manager(String)
==> Parameters: Cao Zicheng(String), 46(Long), Male(String), 11410907(String), Eastern China(String), 13973963674(String), Contracts Manager(String)
==> Parameters: Zou Jiayu(String), 39(Long), Male(String), 12112203(String), Eastern China(String), 15028866306(String), Contracts Manager(String)
==> Parameters: Shi Yishan(String), 46(Long), Male(String), 11410520(String), Eastern China(String), 15049514536(String), Contracts Manager(String)
==> Parameters: Zhang Wanzhi(String), 40(Long), Female(String), 12011529(String), Eastern China(String), 13934753084(String), Contracts Manager(String)
==> Parameters: David Robinson(String), 45(Long), Male(String), 11510024(String), Asia(String), 13976135052(String), Director(String)
==> Parameters: Mitchell Hughes(String), 42(Long), Male(String), 11812801(String), Asia(String), 18978658432(String), Supply Staff(String)
==> Parameters: Amos Walker(String), 44(Long), Male(String), 11612315(String), Asia(String), 13863852369(String), Supply Staff(String)
==> Parameters: Judy Wilson(String), 48(Long), Female(String), 11212823(String), Asia(String), 15089757539(String), Supply Staff(String)
==> Parameters: Carrie Hughes(String), 39(Long), Female(String), 12110020(String), Asia(String), 13962102137(String), Supply Staff(String)
==> Parameters: Li Ningzhen(String), 42(Long), Female(String), 11810208(String), Asia(String), 15653467851(String), Supply Staff(String)
==> Parameters: Wu Nuobo(String), 43(Long), Male(String), 11710328(String), Asia(String), 18689937217(String), Supply Staff(String)
==> Parameters: Salome Patel(String), 48(Long), Female(String), 11210906(String), Asia(String), 13969020238(String), Supply Staff(String)
==> Parameters: Qing Linghan(String), 45(Long), Female(String), 11512100(String), Asia(String), 15021016987(String), Supply Staff(String)
==> Parameters: Jing Binzhu(String), 46(Long), Male(String), 11410313(String), Asia(String), 13934274717(String), Supply Staff(String)
==> Parameters: Qing Zhuyu(String), 39(Long), Male(String), 12111825(String), Asia(String), 18682004975(String), Supply Staff(String)
==> Parameters: Han Haizhen(String), 47(Long), Female(String), 11311306(String), Asia(String), 13821047811(String), Supply Staff(String)
==> Parameters: Chu Fangqin(String), 42(Long), Female(String), 11811514(String), Asia(String), 15053796611(String), Supply Staff(String)
==> Parameters: He Yihao(String), 40(Long), Male(String), 12011011(String), Asia(String), 15652825716(String), Supply Staff(String)
==> Parameters: He Ruoyun(String), 39(Long), Female(String), 12112420(String), Asia(String), 15621794465(String), Supply Staff(String)
==> Parameters: Reg Johnson(String), 49(Long), Male(String), 11110916(String), Asia(String), 18685857534(String), Supply Staff(String)
==> Parameters: Qian Jichen(String), 40(Long), Male(String), 12010114(String), Asia(String), 18678743295(String), Supply Staff(String)
==> Parameters: Jiang Wenyin(String), 48(Long), Male(String), 11211517(String), Asia(String), 18670171493(String), Supply Staff(String)
==> Parameters: Jess White(String), 40(Long), Female(String), 12010010(String), Asia(String), 18628521261(String), Supply Staff(String)
==> Parameters: Ralph Thompson(String), 44(Long), Male(String), 11612521(String), Asia(String), 18998586749(String), Supply Staff(String)
==> Parameters: Cao Hanming(String), 40(Long), Male(String), 12011206(String), Asia(String), 18618114148(String), Supply Staff(String)
==> Parameters: Wei Zhuodong(String), 39(Long), Male(String), 12111620(String), Asia(String), 18678923634(String), Supply Staff(String)
==> Parameters: You Yunzhi(String), 44(Long), Male(String), 11610700(String), Asia(String), 15684045816(String), Supply Staff(String)
==> Parameters: Tao Yixuan(String), 47(Long), Male(String), 11312106(String), Asia(String), 15668442761(String), Supply Staff(String)
==> Parameters: Qian Xiaodie(String), 45(Long), Female(String), 11512212(String), Asia(String), 13857683633(String), Supply Staff(String)
==> Parameters: Qian Banxiang(String), 39(Long), Female(String), 12112920(String), Asia(String), 18620119860(String), Salesman(String)
==> Parameters: Bai Yingtian(String), 43(Long), Female(String), 11710903(String), Asia(String), 13885753171(String), Salesman(String)
==> Parameters: Chen Yuanxiang(String), 48(Long), Male(String), 11211219(String), Asia(String), 15639968841(String), Salesman(String)
==> Parameters: Theobald Robinson(String), 42(Long), Male(String), 11811426(String), Asia(String), 13830333964(String), Salesman(String)
==> Parameters: Pat Wilson(String), 46(Long), Male(String), 11412011(String), Asia(String), 15624601488(String), Salesman(String)
==> Parameters: Mimi Green(String), 39(Long), Female(String), 12112613(String), Asia(String), 18987624415(String), Salesman(String)
==> Parameters: Wu Xiangxing(String), 46(Long), Male(String), 11412001(String), Asia(String), 15069982275(String), Salesman(String)
==> Parameters: Chu Pingning(String), 42(Long), Female(String), 11810114(String), Asia(String), 13949837180(String), Salesman(String)
==> Parameters: Malcolm Brown(String), 41(Long), Male(String), 11911204(String), Asia(String), 13929836941(String), Salesman(String)
==> Parameters: Camilla Smith(String), 47(Long), Female(String), 11312828(String), Asia(String), 13966547841(String), Salesman(String)
==> Parameters: Zheng Jingyun(String), 38(Long), Male(String), 12212519(String), Asia(String), 13913682824(String), Salesman(String)
==> Parameters: Chen Yuanjun(String), 38(Long), Male(String), 12210926(String), Asia(String), 18686339281(String), Salesman(String)
==> Parameters: Tao Yishan(String), 44(Long), Female(String), 11611408(String), Asia(String), 15651274265(String), Salesman(String)
==> Parameters: Colin Jones(String), 40(Long), Male(String), 12012309(String), Asia(String), 15041003332(String), Salesman(String)
==> Parameters: Chu Wenming(String), 40(Long), Male(String), 12012809(String), Asia(String), 18630883140(String), Salesman(String)
==> Parameters: Sun Yinger(String), 41(Long), Female(String), 11910404(String), Asia(String), 13906794354(String), Salesman(String)
==> Parameters: Fidelia Hall(String), 40(Long), Female(String), 12012220(String), Asia(String), 15028279376(String), Salesman(String)
==> Parameters: Henry Lewis(String), 38(Long), Male(String), 12212027(String), Asia(String), 15672327497(String), Salesman(String)
==> Parameters: Qi Guqiu(String), 38(Long), Female(String), 12211619(String), Asia(String), 18600565512(String), Salesman(String)
==> Parameters: Zhao Zhengsong(String), 42(Long), Male(String), 11812108(String), Asia(String), 13872170639(String), Salesman(String)
==> Parameters: Han Yuzhou(String), 42(Long), Male(String), 11810727(String), Asia(String), 18996293617(String), Salesman(String)
==> Parameters: Zhou Huanqing(String), 41(Long), Female(String), 11911206(String), Asia(String), 15060104803(String), Salesman(String)
==> Parameters: Xie Zhenming(String), 38(Long), Male(String), 12211718(String), Asia(String), 15691537032(String), Salesman(String)
==> Parameters: Xu Lvping(String), 45(Long), Female(String), 11510102(String), Asia(String), 18999680234(String), Salesman(String)
==> Parameters: Gene Wright(String), 49(Long), Male(String), 11112106(String), Asia(String), 15610458103(String), Salesman(String)
==> Parameters: Jiang Yibo(String), 49(Long), Female(String), 11110502(String), Asia(String), 15053833226(String), Salesman(String)
==> Parameters: Vivian Clarke(String), 49(Long), Male(String), 11112908(String), Asia(String), 18974833067(String), Salesman(String)
==> Parameters: Wang Jinbo(String), 45(Long), Male(String), 11512218(String), Asia(String), 15609346411(String), Salesman(String)
==> Parameters: Qing  zixue(String), 38(Long), Female(String), 12212622(String), Asia(String), 15657449973(String), Salesman(String)
==> Parameters: Feng Shuliu(String), 40(Long), Female(String), 12011917(String), Asia(String), 15605980669(String), Salesman(String)
==> Parameters: You Qiaoqing(String), 48(Long), Female(String), 11212203(String), Asia(String), 13956614701(String), Salesman(String)
==> Parameters: Candida Jackson(String), 43(Long), Female(String), 11710128(String), Asia(String), 15620472095(String), Salesman(String)
==> Parameters: Li Cailing(String), 43(Long), Female(String), 11710825(String), Asia(String), 13842545267(String), Salesman(String)
==> Parameters: Cathy Edwards(String), 47(Long), Female(String), 11310127(String), Asia(String), 13965664105(String), Salesman(String)
==> Parameters: Jing Shiyi(String), 49(Long), Male(String), 11110226(String), Asia(String), 15073848489(String), Salesman(String)
==> Parameters: Wei Youman(String), 43(Long), Female(String), 11710213(String), Asia(String), 15690572094(String), Salesman(String)
==> Parameters: Micky Patel(String), 40(Long), Male(String), 12011708(String), Asia(String), 18936331523(String), Salesman(String)
==> Parameters: Yan Ningyang(String), 45(Long), Female(String), 11510005(String), Asia(String), 15649764801(String), Salesman(String)
==> Parameters: Dou Youtong(String), 39(Long), Male(String), 12112827(String), Asia(String), 13901526703(String), Salesman(String)
==> Parameters: Qing Fanyan(String), 40(Long), Female(String), 12012107(String), Asia(String), 15068236084(String), Salesman(String)
==> Parameters: Lv Qiufeng(String), 39(Long), Female(String), 12110809(String), Asia(String), 15088530748(String), Salesman(String)
==> Parameters: Oliver Wilson(String), 48(Long), Male(String), 11211116(String), Asia(String), 15014605907(String), Salesman(String)
==> Parameters: Dave Jones(String), 45(Long), Male(String), 11510209(String), Asia(String), 18684691080(String), Salesman(String)
==> Parameters: Qian Qianyi(String), 42(Long), Female(String), 11812011(String), Asia(String), 13842183816(String), Salesman(String)
==> Parameters: Mary Wilson(String), 48(Long), Female(String), 11212510(String), Asia(String), 18626102534(String), Salesman(String)
==> Parameters: Yan Shilan(String), 42(Long), Female(String), 11810712(String), Asia(String), 15092302621(String), Salesman(String)
==> Parameters: Jiang Hanxuan(String), 47(Long), Female(String), 11310425(String), Asia(String), 18629063473(String), Salesman(String)
==> Parameters: Yan Chilv(String), 49(Long), Female(String), 11112222(String), Asia(String), 18915653755(String), Salesman(String)
==> Parameters: Zhou Lengrou(String), 45(Long), Female(String), 11512104(String), Asia(String), 15024361112(String), Salesman(String)
